Seq_Number,Difference_Rate_Average
1,0.1801237380505673
2,0.1276427061310782
3,0.15476190476190474
4,0.2438141923436041
5,0.2735042735042735
6,0.1323529411764706
7,0.15476190476190474
8,0.10500000000000001
9,0.20348837209302328
10,0.23809523809523808
11,0.3222222222222222
12,0.2954545454545454
13,0.23529411764705885
14,0.36029411764705876
15,0.20744680851063826
16,0.4444444444444445
17,0.27840909090909094
18,0.21212121212121215
19,0.3088662790697675
20,0.32380952380952377
21,0.33700722601364913
22,0.3275862068965517
23,0.195
24,0.11206896551724138
25,0.3119642857142857
26,0.2908163265306123
27,0.20982142857142855
28,0.28921568627450983
29,0.37500000000000006
30,0.3196969696969697
31,0.3125
32,0.17307692307692307
33,0.24519230769230765
34,0.27450980392156865
35,0.23888888888888887
36,0.33090277777777777
37,0.3866666666666667
38,0.30303030303030304
39,0.23958333333333331
40,0.2647058823529411
41,0.2556818181818182
42,0.3333333333333333
43,0.23557692307692307
44,0.17346938775510207
45,0.391304347826087
46,0.20762711864406777
47,0.3484408033826638
48,0.3881578947368422
49,0.3541666666666667
50,0.5555555555555555
51,0.40821256038647347
52,0.3782051282051282
53,0.36111111111111116
54,0.1971153846153846
55,0.31313131313131315
56,0.368421052631579
57,0.4273504273504274
58,0.27272727272727276
59,0.35555555555555557
60,0.37215099715099714
61,0.3725718725718726
62,0.20000000000000004
63,0.3609936575052854
64,0.2613636363636364
65,0.4533333333333333
66,0.17592592592592593
67,0.30833333333333335
68,0.25
69,0.21807432432432433
70,0.3727869352869353
71,0.22916666666666669
72,0.2236842105263158
73,0.29914529914529914
74,0.28125
75,0.23113207547169812
76,0.26442307692307687
77,0.28220081135902636
78,0.24049707602339182
79,0.3333333333333333
80,0.375
81,0.15151515151515155
82,0.3125
83,0.33333333333333337
84,0.2857142857142857
85,0.3236607142857143
86,0.3333333333333334
87,0.3737373737373737
88,0.2607638888888889
89,0.21621621621621623
90,0.1989795918367347
91,0.3289473684210526
92,0.3216374269005848
93,0.1893939393939394
94,0.203125
95,0.4132553606237817
96,0.20652173913043478
97,0.2923976608187134
98,0.2857142857142857
99,0.2638888888888889
100,0.23333333333333334
101,0.21568627450980393
102,0.2954545454545454
103,0.26666666666666666
104,0.12096774193548387
105,0.13297872340425532
106,0.3
107,0.11538461538461539
108,0.17708333333333331
109,0.33333333333333326
110,0.19607843137254904
111,0.1509433962264151
112,0.22634180790960454
113,0.17647058823529413
114,0.23557692307692304
115,0.25806451612903225
116,0.22844827586206895
117,0.2848684210526316
118,0.2657407407407408
119,0.2586206896551724
120,0.32763532763532766
121,0.2756410256410256
122,0.21710526315789477
123,0.1724137931034483
124,0.2375
125,0.38518518518518524
126,0.16666666666666669
127,0.24561403508771923
128,0.29583333333333334
129,0.2606382978723404
130,0.20893617021276595
131,0.20370370370370372
132,0.20588235294117646
133,0.2584745762711865
134,0.26851851851851855
135,0.2156862745098039
136,0.2767857142857143
137,0.18181818181818185
138,0.21354166666666666
139,0.3066037735849057
140,0.19512195121951223
141,0.2798611111111111
142,0.33076923076923076
143,0.3166666666666667
144,0.19165742793791574
145,0.16249999999999998
146,0.20555555555555557
147,0.16071428571428573
148,0.25
149,0.22549019607843138
150,0.11711711711711713
151,0.13571428571428573
152,0.19166666666666668
153,0.18754901960784315
154,0.30000000000000004
155,0.271210407239819
156,0.2589285714285714
157,0.2816358024691358
158,0.24999999999999997
159,0.19999999999999998
160,0.14444444444444446
161,0.17391304347826084
162,0.28658536585365857
163,0.375
164,0.27506654835847383
165,0.33475232198142413
166,0.26985111662531014
167,0.3189964157706094
168,0.2021276595744681
169,0.22083333333333335
170,0.3953488372093023
171,0.09756097560975609
172,0.21634615384615383
173,0.2951388888888889
174,0.3333333333333333
175,0.18859649122807018
176,0.38095238095238093
177,0.3575757575757576
178,0.20614035087719298
179,0.20500000000000002
180,0.19444444444444445
181,0.25490196078431376
182,0.145
183,0.16666666666666666
184,0.15204678362573099
185,0.13888888888888887
186,0.23750000000000002
187,0.18749999999999997
188,0.3541666666666667
189,0.125
190,0.125
191,0.1467391304347826
192,0.2
193,0.16071428571428573
194,0.34591194968553457
195,0.2807017543859649
196,0.20833333333333334
197,0.19090909090909092
198,0.18867924528301888
199,0.17857142857142855
200,0.1179245283018868
201,0.09042553191489361
202,0.125
203,0.125
204,0.25308641975308643
205,0.3125
206,0.23484848484848483
207,0.25
208,0.19047619047619047
209,0.16049382716049385
210,0.14444444444444446
211,0.18627450980392157
212,0.13068181818181818
213,0.11363636363636363
214,0.14285714285714282
215,0.2222222222222222
216,0.19999999999999996
217,0.22580645161290322
218,0.13970588235294118
219,0.21637426900584797
220,0.25555555555555554
221,0.14583333333333331
222,0.16666666666666666
223,0.2542372881355932
224,0.20930232558139533
225,0.11320754716981131
226,0.17857142857142858
227,0.19642857142857142
228,0.15789473684210525
229,0.19333333333333336
230,0.15384615384615383
231,0.1754385964912281
232,0.09722222222222221
233,0.10000000000000002
234,0.11016949152542374
235,0.10087719298245613
236,0.17708333333333334
237,0.12500000000000003
238,0.2033898305084746
239,0.18604651162790697
240,0.1519607843137255
241,0.18750000000000003
242,0.20467836257309938
243,0.08333333333333333
244,0.09999999999999999
245,0.025
246,0.13333333333333333
247,0.10416666666666666
248,0.11111111111111112
249,0.15833333333333333
250,0.12499999999999999
251,0.19736842105263155
252,0.12083333333333333
253,0.1524390243902439
254,0.2543859649122807
255,0.11403508771929825
256,0.308641975308642
257,0.14035087719298245
258,0.1388888888888889
259,0.17142857142857143
